央视高清,#genre#
CCTV1综合高清,http://61.163.149.148:8888/rtp/225.1.4.73:1102
CCTV2财经高清,http://61.163.149.148:8888/rtp/225.1.4.74:1103
CCTV3综艺高清,http://61.163.149.148:8888/rtp/225.1.4.158:1194
CCTV4中文国际高清,http://61.163.149.148:8888/rtp/225.1.5.30:1333
CCTV5体育高清,http://61.163.149.148:8888/rtp/225.1.4.159:1195
CCTV-5+体育赛事高清,http://61.163.149.148:8888/rtp/225.1.4.75:1104
CCTV6电影高清,http://61.163.149.148:8888/rtp/225.1.4.160:1196
CCTV7国防军事高清,http://61.163.149.148:8888/rtp/225.1.4.76:1105
CCTV8电视剧高清,http://61.163.149.148:8888/rtp/225.1.4.161:1197
CCTV9记录高,http://61.163.149.148:8888/rtp/225.1.4.77:1106
CCTV10科教高清,http://61.163.149.148:8888/rtp/225.1.4.78:1107
CCTV11戏曲高清,http://61.163.149.148:8888/rtp/225.1.4.215:1268
CCTV12社会与法高清,http://61.163.149.148:8888/rtp/225.1.4.79:1108
CCTV13新闻高清,http://61.163.149.148:8888/rtp/225.1.4.113:1293
CCTV14少儿高清,http://61.163.149.148:8888/rtp/225.1.4.80:1109
CCTV15音乐高清,http://61.163.149.148:8888/rtp/225.1.4.216:1269
CCTV-16奥林匹克高清,http://61.163.149.148:8888/rtp/225.1.5.46:1356
CCTV-17农村农业高清,http://61.163.149.148:8888/rtp/225.1.4.226:2506
收视指南,http://61.163.149.148:8888/rtp/225.1.4.50:1079
CGTN,http://61.163.149.148:8888/rtp/225.1.4.16:1045

卫视高清,#genre#
河南卫视高清,http://61.163.149.148:8888/rtp/225.1.4.98:1127
湖南卫视高清,http://61.163.149.148:8888/rtp/225.1.4.82:1111
江苏卫视高清,http://61.163.149.148:8888/rtp/225.1.4.83:1112
浙江卫视高清,http://61.163.149.148:8888/rtp/225.1.4.84:1113
北京卫视高清,http://61.163.149.148:8888/rtp/225.1.4.81:1110
东方卫视高清,http://61.163.149.148:8888/rtp/225.1.4.85:1114
天津卫视高清,http://61.163.149.148:8888/rtp/225.1.4.86:1115
山东卫视高清,http://61.163.149.148:8888/rtp/225.1.4.88:1117
安徽卫视高清,http://61.163.149.148:8888/rtp/225.1.4.87:1116
深圳卫视高清,http://61.163.149.148:8888/rtp/225.1.4.90:1119
江西卫视高清,http://61.163.149.148:8888/rtp/225.1.4.139:1305
湖北卫视高清,http://61.163.149.148:8888/rtp/225.1.4.89:1118
四川卫视高清,http://61.163.149.148:8888/rtp/225.1.4.151:1306
黑龙江卫视高清,http://61.163.149.148:8888/rtp/225.1.4.91:1120
云南卫视高清,http://61.163.149.148:8888/rtp/225.1.4.152:1307
贵州卫视高清,http://61.163.149.148:8888/rtp/225.1.4.122:1302
辽宁卫视高清,http://61.163.149.148:8888/rtp/225.1.4.167:1208
东南卫视高清,http://61.163.149.148:8888/rtp/225.1.4.228:1274
重庆卫视高清,http://61.163.149.148:8888/rtp/225.1.4.157:1308
广东卫视高清,http://61.163.149.148:8888/rtp/225.1.4.166:1207
河北卫视高清,http://61.163.149.148:8888/rtp/225.1.4.123:1304
吉林卫视高清,http://61.163.149.148:8888/rtp/225.1.4.174:1309
